Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
"JUNSEI-SYOKUHIN MARUSHIMA Co., LTD.","Food, Beverages, Tobacco, etc.","The Hiroshima Bank, Ltd. ","January, 2023",7 years,HIROGIN area design Co. Ltd. ,0.15,billion yen,Increase in sales of JAS-certified organic products and products using JAS organic raw materials,"The interest rate applied during the term of the loan will be determined by the achievement of the following requirements
(1) The borrower must report to the lender in writing on the progress of its initiatives.
(2) The SPT target figures must be achieved.
If (1) is complied with, the spread will remain the same even if (2) is not met. If (1) is complied with and (2) is achieved, the spread is designed to decrease.","JUNSEI-SYOKUHIN MARUSHIMA Co., LTD. intends to submit a written statement to the Hiroshima Bank regarding the achievement of the SPT. It intends to announce on Hiroshima Bank's website that this financing is based on a Sustainability Linked Loan."
"Sumitomo Mitsui Trust Panasonic Finance Co., Ltd.",Finance (including REITs),"Syndication method
(Arranger: Sumitomo Mitsui Trust Bank, Limited)
Ashikaga Bank, Gunma Bank, Shikoku Bank, Joyo Bank, Daishi Hokuetsu Bank, Hachijuni Bank, Higashi-Nippon Bank, Hiroshima Bank, Hokuriku Bank, Minato Bank","January, 2023",5 years,"Japan Credit Rating Agency, Ltd.",10billion yen,billion yen,"SPT1: Achievement of 120 cumulative contracts for the SDGs ""Thank You"" project by the end of the third year 
SPT2: Cumulative number of Eco-Cute contracts at the end of the third year: 13,500 
SPT3: Achieve 100% reuse and recycling rate of PCs returned to the Company (maintained 100% for 3 years)",Financial characteristics of the arrangement change depending on whether or not the SPT is achieved.,"Sumitomo Mitsui Trust Panasonic Finance will have the KPI figures verified by an independent third party on an annual basis until the point at which the achievement of the SPTs is confirmed, and to disclose the verification results to the lender in a prescribed report."
"Fujiwara-Mecena Construction
（藤原メセナ建設）",Real estate and construction,"The Chugoku Bank, Ltd","January, 2023",5 years,Okayama economic research institute,0.05,billion yen,"CO2 emission reduction rate per construction volume (%)
【Target】 (compared to the previous year) 
FY2023: -1.5% 
FY2024: -1.5% 
FY2025: -1.5% 
FY2026: -1.5%
FY2027: -1.5%","Reduction of the applicable interest rate by up to 0.2% per year, depending on the achievement of SPT.","・Report to the Chugoku Bank once a year on the status of funds allocated (projects allocated, amount of funds), unallocated balance, and environmental improvement effects.
・The Okayama Institute of Economic Research will confirm the appropriateness of the report."
"SBI Estate Finance Co.,Ltd. ",Finance (including REITs),"The Hyakujushi Bank, Ltd.","January, 2023",ー,114 Economic Research Institute,ー,,Number of properties to be acquired by SBI Smile in the leaseback business and the amount of acquisition,"In principle, the progress of the SPTs will be checked on an annual basis, and the interest rate will be reduced according to the progress of the SPTs.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
MARUSHO,Others (including service industry),"THE HYAKUGO BANK,LTD.","January, 2023",ー,"Rating & Investment Information, Inc.",ー,,"Reduction of Greenhouse Gas Emissions (compared to the fiscal year ended March 31, 2022)
FY2023：4.67％, FY2024：9.34％, FY2025：14.01％, FY2026：18.68％, FY2026：23.35％","The SPTs' achievement status is checked annually, and the incentive design is such that interest rates are reduced upon achievement.",The Borrower will report annually on the status of SPTs achievement to Hyakugo Bank's sales offices over the term of the loan. The contents of the reports will not be made public on the borrower's website.
" House Craft Co. 
（ハウスクラフト）",Real estate and construction,"THE HYAKUGO BANK,LTD.","January, 2023",ー,"Rating & Investment Information, Inc.",ー,,"Percentage of HEAT20 G2 grade homes delivered per year in new housing units
【Target】
2023/11 30%
2024/11 35%
2025/11 40%
2026/11 45%
2027/11 50%","The SPTs' achievement status is checked annually, and the incentive design is such that interest rates are reduced upon achievement.",Hyakugo Bank will receive reports from the borrowers on the appropriation of procured funds and the effects of environmental improvements on an annual basis.
Suzuden,Energy,"The Bank of Nagoya, Ltd.","January, 2023",10 years,"Rating & Investment Information, Inc.",0.086,billion yen,"Reduce CO2 emissions by 4.2% compared to the FY2021 level every year starting from the FY2022 fiscal year as a milestone to achieve the 37.8% CO2 reduction target (SBT ""1.5°C target"" level) by FY2030 compared to the FY2021 level.",Apply preferential interest rates when SPTs are achieved.,"Once a year, the achievement of SPTs will be checked with the value of the company's fiscal year. Suzuden will report to The Bank of Nagoya after receiving confirmation from a third-party specialized agency."
"FUJI CLEAN CO.,LTD.",Energy,"The Hyakujushi Bank, Ltd.","December, 2022",ー,114 Economic Research Institute,ー,,Energy consumption intensity at water treatment facilities at final disposal sites,"In principle, the progress of the SPTs will be checked on an annual basis, and the interest rate will be reduced according to the progress of the SPTs.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
"GARDEN GROUP CO.,Ltd ",Others (including service industry),"The Musashino Bank, Ltd","December, 2022",ー,"Rating & Investment Information, Inc.
Bugin Economic Research Institute, Ltd.",ー,,Reduction rate of annual electricity consumption,"Achievement of SPTs is checked annually, and the incentive design is such that interest rates are reduced upon achievement.",The Borrower will report its performance on SPTs to Musashino Bank and BGI at least once a year over the term of the loan. The contents of the reports will not be made public on the Borrower's website or other media.
"KOCHI Co.,Ltd.",Manufacturing,"The Hiroshima Bank, Ltd. ","December, 2022",5 years,HIROGIN area design Co. Ltd. ,0.03,billion yen,"Percentage reduction in CO2 emissions by reducing printing losses
FY2022: 50% of the previous year
FY2023: 20% of the previous year
FY2024: 20% of the previous year
FY2025: 20% of the previous year
FY2026: 20% of the previous year","The interest rate applied during the term of the loan will be determined by the achievement of the following requirements
(1) The borrower must report to the lender in writing on the progress of its initiatives.
(2) The SPT target figures must be achieved.
If (1) is complied with, the spread will remain the same even if (2) is not met. If (1) is complied with and (2) is achieved, the spread is designed to decrease.",KOCHI intends to submit a written statement to the Hiroshima Bank regarding the achievement of the SPT. KOCHI intends to announce on Hiroshima Bank's website that this financing is based on a Sustainability Linked Loan.
Suzunari Inc.,"Agriculture, forestry, fishing",The Norinchukin Bank,"December, 2022",ー,"Rating & Investment Information, Inc.",ー,,"Reduce the sum of Scope 1 and Scope 2 GHG emissions by the fiscal year ending August 31, 2025.","The SPTs' achievement status is checked annually, and the incentive design reduces the interest rate for the next applicable interest rate period when the SPTs are achieved.","Over the term of the loan, the borrower will report annually to the front office of The Norinchukin Bank on reports describing the status of achievement of SPTs and the results of verification regarding the actual performance of KPIs, in accordance with the terms and conditions of the Norinchukin SLL agreement."
kankyo-station corporation.,Real estate and construction,"The Chiba Bank, Ltd.","December, 2022",ー,Chibagin Research Institute Corporation,0.2,billion yen,"CO2 emissions from business activities (kg-CO2)
May. 2022 - Apl. 2023：8,763.3 t-CO2
May. 2023 - Apl. 2024：8,520.1t-CO2
May. 2024 - Apl. 2025：8,276.9t-CO2
May. 2025 - Apl. 2026：8,033.8t-CO2
May. 2026 - Apl. 2027：7,790.6t-CO2","In principle, the SPTs' achievement status is checked on an annual basis, and a mechanism is set up to lower or raise interest rates depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
UNITED TRADE Corporation,Wholesale and retail trade,"The Chiba Bank, Ltd.","December, 2022",ー,Chibagin Research Institute Corporation,0.1,billion yen,"Ratio of electric motorcycles to total motorcycle sales
FY2024：5.0％
FY2025：6.7％
FY2026：8.4％","In principle, the SPTs' achievement status is checked on an annual basis, and a mechanism is set up to lower or raise interest rates depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Heiwa Real Estate Co., Ltd.",Real estate and construction,"North Pacific Bank,Ltd.","December, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,"Reduce GHG emissions (total, Scope 1 and 2) by 50% by 2030 compared to FY 2018",Financial characteristics of the arrangement change depending on whether or not the SPT is achieved.,Heiwa Real Estate plans to disclose the performance of KPIs to Chiba Bank after the end of each fiscal year. The SPT performance established under the loan is scheduled to be verified by an external certification body.
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"THE AICHI BANK, LTD.","December, 2022",ー,"Rating & Investment Information, Inc.",1,billion yen,"Reduce total greenhouse gas (CO2) emissions for Scope 1, 2, and Scope 3 by 35% by 2030 (compared to FY 2019)",Preferential applicable interest rates based on achievement of SPTs,"Nomura Real Estate Holdings, Inc. will report emissions for each of Scope 1, 2 and 3 on its sustainability website and in its Sustainability Report, along with information on its sustainability policy and governance."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"THE OITA BANK,LTD.","December, 2022",ー,"Rating & Investment Information, Inc.",ー,,"Reduce total greenhouse gas (CO2) emissions for Scope 1, 2, and Scope 3 by 35% by 2030 (compared to FY 2019)",Preferential applicable interest rates based on achievement of SPTs,"Nomura Real Estate Holdings, Inc. will report emissions for each of Scope 1, 2 and 3 on its sustainability website and in its Sustainability Report, along with information on its sustainability policy and governance."
"suzuka group
(鈴鹿グループ)",Real estate and construction,"THE AICHI BANK, LTD.","December, 2022",5 years,"Rating & Investment Information, Inc.",0.2,billion yen,Significantly increase the amount of derelict farmland to be acquired or leased from farmers for the installation of farm-based solar power plants.,It is designed to reduce loan terms for subsequent interest calculation periods based on the achievement of KPIs at the end of each fiscal year in September of each year.,"The Suzuka Group shall report the progress of the KPI to the lender once a year, and shall report in writing to the lender and post on its website annually the area of farmland acquired, which is a KPI."
DIAMOND ELECTRIC HOLDINGS.,Manufacturing,"Syndication method
(Arranger: Sumitomo Mitsui Banking Corporation)
The Kiyo Bank, Ltd. 、The Shoko Chukin Bank，Ltd.、THE TOTTORI BANK, LTD、MUFG Bank, Ltd.、Resona Bank,Ltd.","December, 2022",9 years and 9 months,DNV GL BUSINESS ASSURANCE JAPAN K.K.,2,billion yen,"① Reduce CO2 emissions ( intensity) associated with business activities by 40% at domestic sites and 10% at overseas sites by FY2031 (compared to FY2020). 
② Increase by 100% (compared to FY2021) the amount of CO2 reduction contribution linked to the sales target of in-house products that contribute to CO2 reduction by FY2031.",Interest rates vary depending on the degree of achievement of SPTs.,"At least once a year, Diamond Electric Holdings will publish the required information on its website or report it to the lender."
"Leben Clean Energy Co.,Ltd.",Energy,"THE TOWA BANK, LTD","December, 2022",10 years,"Rating & Investment Information, Inc.",1,billion yen,"In terms of the cumulative output (kW) of renewable energy power generation facilities developed by the company and through the acquisition of existing properties in operation
① Increase by 15,000 kW annually 
(actual results: FY2018 1,856㎾, FY2019 2,043㎾, FY2020 2,549㎾, FY2021 22,681㎾, FY2022 estimate 20,000㎾)
② Increase the average annual output by 15,000 kW (exceeding the planned cumulative output)
(actual results:FY2018 1,856㎾, FY2019 3,899㎾, FY2020 6,448㎾, FY2021 29,129㎾, FY2022 estimate 49,129㎾)",It is designed to reduce the loan terms during the interest calculation period when SPTs are achieved.,"Raven Clean Energy will report annually to the lender on the progress of the SPTs.
Data on renewable energy generation facilities, a KPI, will be reported in writing to the lender."
"Spread Co., Ltd.","Agriculture, forestry, fishing",THE SHIGA BANK，LTD．,"December, 2022",ー,"Rating & Investment Information, Inc.",0.6,billion yen,"SPTs① Production Volume per Labor Hour
SPTs② Energy consumption per production volume
at Kameoka Plant and Techno Farm Keihanna",Reduce the spread if both SPTs are achieved.,"Spread will report in writing to the lender, Shiga Bank, on the actual performance of the KPI."
TAISEI CORPORATION,Real estate and construction,The Norinchukin Bank,"December, 2022",5 years,"Rating & Investment Information, Inc.",ー,,"Achieve a Leadership Level (A, A-) on the CDP Climate Change Score","The SPT is designed to check the achievement of the SPT each year after FY2023, increasing the interest rate if the SPT is not achieved and subsequently reducing it to the original rate if it is achieved.","The evaluation results of the CDP Climate Change Score, a KPI, will be disclosed once a year (around December) on the CDP's website. 
Upon receiving such disclosure, TAISEI will notify the Norinchukin Bank, the lender, of the status of achievement of the SPT by the end of the month following the disclosure each year.
In the event that TAISEI posts the evaluation results on its website and communicates such information to the Norinchukin Bank, this shall be substituted."
"Kyuden Mirai Energy Company,Incorporated",Energy,The Norinchukin Bank,"December, 2022",10 years,"Japan Credit Rating Agency, Ltd.",ー,,20 development of renewable and other energy sources (including own and equity investments),"If the SPT is achieved, the arrangement is to change the financial characteristics.","Kyuden Mirai Energy will disclose the progress of SPTs, which constitute KPIs, to lenders on an annual basis, after verification by a third-party organization such as an auditing firm."
"Toyo Seikan Group Holdings,Ltd.",Manufacturing,Sumitomo Mitsui Banking Corporation,"December, 2022",ー,"Rating & Investment Information, Inc.",ー,,Reducing CO2 emissions in Scope 1 and Scope 2 of the entire Toyo Seikan Group by 4.5% per year (compared to FY2019),"The SPT achievement status for the previous year is determined at the end of September of each year, and the borrowing rate is set to be reduced if the SPT is achieved.","Toyo Seikan GHD will submit prima facie evidence concerning the actual values of KPIs for the previous fiscal year to the lender by the end of September of each fiscal year. However, if Toyo Seikan GHD publicly announces the same information on its website, etc., and the lender recognizes the publicly announced information as prima facie evidence, submission of the material is not required."
"Toyo Seikan Group Holdings,Ltd.",Manufacturing,"The Gunma Bank,Ltd.","December, 2022",ー,"Rating & Investment Information, Inc.",ー,,Reducing CO2 emissions in Scope 1 and Scope 2 of the entire Toyo Seikan Group by 4.5% per year (compared to FY2019),"The SPT achievement status for the previous year is determined at the end of September of each year, and the borrowing rate is set to be reduced if the SPT is achieved.","Toyo Seikan GHD will submit prima facie evidence concerning the actual values of KPIs for the previous fiscal year to the lender by the end of September of each fiscal year. However, if Toyo Seikan GHD publicly announces the same information on its website, etc., and the lender recognizes the publicly announced information as prima facie evidence, submission of the material is not required."
"AEON Co., Ltd.",Wholesale and retail trade,"Resona Bank,Ltd.","December, 2022",ー,"Rating & Investment Information, Inc.",ー,,Switch 50% of electricity used in stores to renewable energy by 2030 (domestic),"If the SPT is not achieved, the borrower is obligated to donate an amount equivalent to 0.1% of the loan amount within two months from the date of determination.","・AEON will report to lenders once a year on the latest performance figures related to KPIs, the progress of the SPT, and the latest sustainability strategy related to KPIs and the SPT. However, if the relevant information is disclosed to the public through a website or other means, it is possible for the lender to use these reports on its behalf.
 AEON will report to the lender on the status of SPT achievement (and planned donation recipients, if any) by the SPT determination date."
"RICOH LEASING COMPANY, LTD.",Finance (including REITs),"Saitama Resona Bank,Limited","December, 2022",ー,"Rating & Investment Information, Inc.",ー,,"Maintain the highest rated ""Leadership Level"" in the CDP Climate Change Score","The characteristics of the loan change depending on the achievement of the SPTs, with interest rates stepping down when the SPTs are achieved.",Ricoh Leasing will disclose the status of achievement of the set KPIs against the SPTs every year as the results of its environmental and social activities posted on its website.
"SUMITOMO CHEMICAL COMPANY, LIMITED",Chemical Industry,The Norinchukin Bank,"December, 2022",10 years,"Japan Credit Rating Agency, Ltd.",20,billion yen,Reduce the Group's GHG emissions (Scope 1+2) by 50% by FY2030 (compared to FY2013),Financial characteristics are arranged to vary depending on the achievement of the SPT.,"Sumitomo Chemical will disclose the status of achievement of the established KPIs/SPTs at least once a year, either on its website, in its Integrated Report, Sustainability Data Book, or other disclosure materials."
"SUMITOMO CHEMICAL COMPANY, LIMITED",Chemical Industry,"Sumitomo Mitsui Trust Bank, Limited","December, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,Reduce the Group's GHG emissions (Scope 1+2) by 50% by FY2030 (compared to FY2013),Financial characteristics are arranged to vary depending on the achievement of the SPT.,"Sumitomo Chemical will disclose the status of achievement of the established KPIs/SPTs at least once a year, either on its website, in its Integrated Report, Sustainability Data Book, or other disclosure materials."
"AEON Co., Ltd.",Wholesale and retail trade,"The Chiba Bank, Ltd.","December, 2022",ー,"Rating & Investment Information, Inc.",ー,,Switch 50% of electricity used in stores to renewable energy by 2030 (domestic),"If the SPT is not achieved, the borrower is obligated to donate an amount equivalent to 0.1% of the loan amount within three months from the date of determination.","・Once a year, AEON shall report to lenders the latest actual results related to KPIs, the progress of SPTs, and information on the latest sustainability strategies related to KPIs and SPTs. However, these reports may be substituted for the reports if the relevant information is disclosed to the public through a website or other means.
・When a donation is made, details of the recipient of the donation, etc., shall be promptly reported to the lender and the Sustainability Coordinator, Chiba Bank."
"AEON Co., Ltd.",Wholesale and retail trade,Sumitomo Mitsui Banking Corporation,"December, 2022",ー,"Rating & Investment Information, Inc.",ー,,Switch 50% of electricity used in stores to renewable energy by 2030 (domestic),"If the SPT is not achieved, the borrower is obligated to donate an amount equivalent to 0.1% of the loan amount within two months from the date of determination.","・AEON will report to lenders once a year on the latest performance figures related to KPIs, the progress of the SPT, and the latest sustainability strategy related to KPIs and the SPT. However, if the relevant information is disclosed to the public through a website or other means, it is possible for the lender to use these reports on its behalf.
 AEON will report to the lender on the status of SPT achievement (and planned donation recipients, if any) by the SPT determination date."
"LIFE PORTER
(渡辺運輸)",Transportation,"The Chugoku Bank, Ltd","December, 2022",5 years,Okayama economic research institute,0.1,billion yen,"Power source composition ratio of in-house generated renewable energy (%) 
<Target>
Feb. 2023 - Jan. 2024: 87.9% or more 
Feb. 2024 - Jan. 2025: 88.3% or more 
Feb. 2025 - Jan. 2026: 88.7% or more 
Feb. 2026 - Jan. 2027: 89.1% or more","Reduction of the applicable interest rate by up to 0.2% per year, depending on the achievement of SPT.","・Report to the Chugoku Bank once a year on the status of funds allocated (projects allocated, amount of funds), unallocated balance, and environmental improvement effects.
・The Okayama Institute of Economic Research will confirm the appropriateness of the report."
"AJINOMOTO CO.,INC.","Food, Beverages, Tobacco, etc.","Syndication method 
(Arranger: MUFG Bank, Ltd.)
5 financial institutions","December, 2022",3 years,"Japan Credit Rating Agency, Ltd.",100,billion yen,"Scope 1 and Scope 2 GHG emissions reduction by 50% in FY2030 (compared to FY2018) 
【Results of total GHG emissions in Scope 1 and Scope 2】
 (thousands of t-CO2e, figures in parentheses are compared to FY2018) 
FY2017 2,317 
FY2018 2,213 
FY2019 1,974 (11%) 
FY2020 1,911 (14%) 
FY2021 1,612 (27%) 

【Targets for each fiscal year 】
(thousands of t-CO2e, figures in parentheses indicate reduction rate compared to FY2018) 
FY2022: 1,566 (30%) 
FY2023: 1,500 (32%) 
FY2024: 1,443 (35%) 
FY2025: 1,387 (37%) 
FY2026: 1,331 (40%) 
FY2027: 1,275 (42%) 
FY2028: 1,218 (45%) 
FY2029: 1,162 (47%) 
FY2030: 1,106 (50%)","If the SPT is not met/achieved, the interest rate will increase/decrease from the interest payment after the judgment date until the next judgment.","Once a year, the following items will be announced on the Ajinomoto website. 
・KPI values as of the last day of each fiscal year 
・Actual KPI values from the base year (FY2018) 
・Information that may affect the achievement of SPT"
"EXEO Group, Inc.",Real estate and construction,"Syndication method 
(Arranger: Sumitomo Mitsui Trust Bank, Limited)","December, 2022",ー,"Japan Credit Rating Agency, Ltd.",15,billion yen,"① Reduce greenhouse gas emissions (Scope 1 and 2) in FY2024 by at least 16.8% of the FY2020 level 
② Reduce greenhouse gas emissions (Scope 3) in FY2024 by at least 10.0% of the FY2020 level.","If any of the established SPTs are not met, an amount equal to 0.01% of the principal balance will be donated to a qualified donor",EXIO Group will disclose the progress of the SPTs that constitute the KPIs on its website or to lenders on an annual basis.
"EXEO Group, Inc.",Real estate and construction,Sumitomo Mitsui Banking Corporation,"December, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,"① Reduce greenhouse gas emissions (Scope 1 and 2) in FY2024 by at least 16.8% of the FY2020 level 
② Reduce greenhouse gas emissions (Scope 3) in FY2024 by at least 10.0% of the FY2020 level.","Loan conditions are set that upon non-achievement of SPTs, the EXIO Group will make a donation to an organization that aims to solve environmental and social issues, such as initiatives for decarbonization and human rights protection activities, and support their activities.",EXIO Group will disclose the progress of the SPTs that constitute the KPIs on its website or to lenders on an annual basis.
KYORITSU,Manufacturing,"Aozora Bank, Ltd.","December, 2022",ー,"Rating & Investment Information, Inc.",ー,,Reduction of energy-derived CO2 emissions at Group-owned plants,Lower interest rates if SPTs are achieved or raise rates if not achieved,"Once a year, the actual values of KPIs that show the achievement status of SPTs and the results of verification by a third-party professional organization are submitted to the lender as a report through documents, web pages, and other published materials. The contents of the report will not be made public on websites, etc."
"Niwa kogyo Co.,Ltd ",Wholesale and retail trade,"The Bank of Nagoya, Ltd.","December, 2022",5 years,"Rating & Investment Information, Inc.",0.1,billion yen,Reduce CO2 emissions by 21.0% compared to FY2019 during the five-year period from FY2022 to FY2026 as a milestone to achieve the CO2 reduction target of 46.2% compared to FY2019 by FY2030.,Apply preferential interest rates when SPTs are achieved.,"Once a year, the achievement of SPTs will be checked with the value of the company's fiscal year. Niwa kogyo Co.,Ltd  will report to The Bank of Nagoya after receiving confirmation from a third-party specialized agency."
"AEON Co., Ltd.",Wholesale and retail trade,"MUFG Bank, Ltd.","November, 2022",ー,"Rating & Investment Information, Inc.",ー,,Switch 50% of electricity used in stores to renewable energy by 2030 (domestic),"If the SPT is not achieved, the borrower is obligated to donate an amount equivalent to 0.1% of the loan amount within two months from the date of determination.","・AEON will report to lenders once a year on the latest performance figures related to KPIs, the progress of the SPT, and the latest sustainability strategy related to KPIs and the SPT. However, if the relevant information is disclosed to the public through a website or other means, it is possible for the lender to use these reports on its behalf.
 AEON will report to the lender on the status of SPT achievement (and planned donation recipients, if any) by the SPT determination date."
"Kawasaki Heavy Industries, Ltd.",Transportation Machinery,Sumitomo Mitsui Banking Corporation,"November, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,Completion of construction of one large liquefied hydrogen carrier for commercialization demonstration by FY2026,Make arrangements for each finance to change its financial characteristics when SPTs are achieved,"Kawasaki Heavy Industries will disclose the progress of the SPTs that comprise the KPIs and other information on an annual basis on its website or in the Integrated Report and other documents, or to lenders."
"Kawasaki Heavy Industries, Ltd.",Transportation Machinery,The Norinchukin Bank,"November, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,Completion of construction of one large liquefied hydrogen carrier for commercialization demonstration by FY2026,Make arrangements for each finance to change its financial characteristics when SPTs are achieved,"Kawasaki Heavy Industries will disclose the progress of the SPTs that comprise the KPIs and other information on an annual basis on its website or in the Integrated Report and other documents, or to lenders."
"Kawasaki Heavy Industries, Ltd.",Transportation Machinery,Meiji Yasuda Life Insurance Company,"November, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,"① Completion of construction of one large liquefied hydrogen carrier for commercialization demonstration by FY2026
② More than 225,000 t/year of hydrogen transportable to Japan by FY2031",Make arrangements for each finance to change its financial characteristics when SPTs are achieved,"Kawasaki Heavy Industries will disclose the progress of the SPTs that comprise the KPIs and other information on an annual basis on its website or in the Integrated Report and other documents, or to lenders."
"Kawasaki Heavy Industries, Ltd.",Transportation Machinery,Nippon Life Insurance Company,"November, 2022",ー,"Japan Credit Rating Agency, Ltd.",ー,,"① Completion of construction of one large liquefied hydrogen carrier for commercialization demonstration by FY2026
② More than 225,000 t/year of hydrogen transportable to Japan by FY2031",Make arrangements for each finance to change its financial characteristics when SPTs are achieved,"Kawasaki Heavy Industries will disclose the progress of the SPTs that comprise the KPIs and other information on an annual basis on its website or in the Integrated Report and other documents, or to lenders."
"Kinmon Marumatsu Industry
（錦門丸松工業）",Manufacturing,"The Chugoku Bank, Ltd","November, 2022",5 years,Okayama economic research institute,0.03,billion yen,"Reduction rate of electricity consumption per net sales
<Target> (vs. previous year)
FY2022: -2.7%, FY2023: -2.7%, FY2024: -2.7%, FY2025: -2.7%, FY2025: -2.7%, FY2026: -2.7%, FY2026: -2.7%","Reduction of the applicable interest rate by up to 0.2% per year, depending on the achievement of SPT.","・Report to the Chugoku Bank once a year on the status of funds allocated (projects allocated, amount of funds), unallocated balance, and environmental improvement effects.
・The Okayama Institute of Economic Research will confirm the appropriateness of the report."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"The Keiyo Bank,Ltd.","November, 2022",ー,"Rating & Investment Information, Inc.",1,billion yen,"・Reduce total direct (Scope 1) and indirect (Scope 2) GHG emissions by 35% (compared to FY2019) 
・Reduce total GHG emissions in Scope 3 by 35% (compared to FY2019)",Preferential applicable interest rates based on achievement of SPTs,"Nomura Real Estate Holdings, Inc. will report emissions for each of Scope 1, 2 and 3 on its sustainability website and in its Sustainability Report, along with information on its sustainability policy and governance."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"The Higashi-Nippon Bank, Limited","November, 2022",ー,"Rating & Investment Information, Inc.",1,billion yen,"・Reduce total direct (Scope 1) and indirect (Scope 2) GHG emissions by 35% (compared to FY2019) 
・Reduce total GHG emissions in Scope 3 by 35% (compared to FY2019)",Preferential applicable interest rates based on achievement of SPTs,"Nomura Real Estate Holdings, Inc. will report emissions for each of Scope 1, 2 and 3 on its sustainability website and in its Sustainability Report, along with information on its sustainability policy and governance."
"Nomura Real Estate Holdings, Inc.",Real estate and construction,"THE NISHI-NIPPON CITY BANK, LTD.","November, 2022",ー,"Rating & Investment Information, Inc.",ー,,"・Reduce total direct (Scope 1) and indirect (Scope 2) GHG emissions by 35% (compared to FY2019) 
・Reduce total GHG emissions in Scope 3 by 35% (compared to FY2019)",Preferential applicable interest rates based on achievement of SPTs,"Nomura Real Estate Holdings, Inc. will report emissions for each of Scope 1, 2 and 3 on its sustainability website and in its Sustainability Report, along with information on its sustainability policy and governance."
"Takahashi Metal Industries Co., Ltd.",Manufacturing,THE SHIGA BANK，LTD．,"November, 2022",ー,"Shigagin Keizai Bunka Center CO.,LTD. ",0.05,billion yen,"Reduce CO2 emissions (compared to FY2020) to 29.4% by FY2027
 (FY2021 result: -10.8%)
【Target for each fiscal year】
FY2022 8.4%
FY2023 12.6%
FY2024 16.8% 
FY2025 21.0% 
FY2026 25.2% 
FY2027 29.4% ","Lending terms and conditions are linked to the achievement of the SPTs, and economic incentives are set.","Takahashi Metal Industries will report to the lender once a year on the status of SPT achievement. After September 2023, Takahashi Metal Industries will report the actual KPI results for the previous year on its website or in writing to the lender by the end of September of each year, after verification by KEIBUN."
WILLPLUS Holdings Corporation.,Wholesale and retail trade,Sumitomo Mitsui Banking Corporation,"November, 2022",5 years,"Rating & Investment Information, Inc.",ー,,"SPT-1: To reduce GHG emissions per store (Scope 1 + Scope 2) by 22% in FY 2025 in comparison to FY 2021
SPT-2: To switch to renewable energy for purchased electricity in all stores by the end of FY 2025",Preferential applicable interest rates based on achievement of SPTs,WILLPLUS HD will disclose the KPIs data on its website once a year.
Mitsubishi Estate Logistics REIT Investment Corporation (MEL),Real estate and construction,"Shinsei Bank, Limited","November, 2022",ー,"Shinsei Bank, Limited Sustainable Impact Development Division,Sustainable Impact Assessment Department",2,billion yen,"SPT-1 Reduce CO2 emissions (intensity) by 30% from 0.025t-CO2/m2 in FY2017 by FY2030.
SPT-2 Percentage of properties with green building certification: 100% achieved
SPT-3 Reduce energy consumption (intensity) by 15% from 50.20 kWh/m2 in FY2017  by FY 2030.
SPT-4 GRESB Real Estate Assessment: Continuously achieve 4 stars or more",Interest rate terms are designed to vary depending on the achievement or non-achievement of SPTs,The borrower will report annually to the lender on the progress of the SPT and the evidences. The lender will also publish KPI results on its website over the term of the loan.
"NIPPON GAS CO., LTD.",Energy,"The Bank of Yokohama,Ltd.","November, 2022",ー,"Rating & Investment Information, Inc.",ー,,"Reduction ratio of CO2 emissions per household of customers who contract with NIPPON GAS gas and electricity combined
（compared to FY Mar/2020 results）",It is designed to check the achievement of the SPT and reduce the interest rate if the SPT is achieved.,"NIPPON GAS will report annually to the lender on the progress of KPIs and the achievement of SPTs based on verified data, and will disclose such information on its website and in the Integrated Report."
"NIPPON GAS CO., LTD.",Energy,"Mizuho Bank, Ltd.","November, 2022",ー,"Rating & Investment Information, Inc.",1,billion yen,"Reduce CO2 emissions per household of customers who subscribe to a combined gas and electricity service by at least 23% in the fiscal year ending March 31, 2026, compared with the fiscal year ending March 31, 2020.",It is designed to check the achievement of the SPT and reduce the interest rate if the SPT is achieved.,"NIPPON GAS will report annually to the lender on the progress of KPIs and the achievement of SPTs based on verified data, and will disclose such information on its website and in the Integrated Report."
