"Title","Created","LastEdited","Agency","Description","ProblemBy","ProblemOf","Status","Votes","ID"
"Data concering imports under HS 2004.10.00","2021-01-06 10:08:41","2021-01-08 11:48:51","Ministry of Business Innovation and Employment","I would appreciate data in excel form concerning imports (by country, by transaction if possible, with volume; value, importer, supplier) for imports during 2018, 2019 and 2020 of product under HS 2004.10.00","Allowing the interested party to comment on the merits of the request for an antidumping measure","I am working for an exporter (AVIKO BV) which will be co-operating with the Antidumping investigation No. MBIE/AD/I/2020/004 concerning imports of frozen fries under HS 2004.10.00","Agency notified","0","555"
"Number of Marriages and Civil Unions held In Hawke's Bay 2019-2024","2024-04-29 11:27:00","2024-04-30 16:15:34","Statistics New Zealand","I'm looking into the number of Marriages and Civil Unions held in Hawke's Bay from the date January 2019 to December 2023 (or there about).

A PDF and xlsx file would be required, showing city/town, Marriages and Cilvil unions, and dates","Giving me the information I need to make a informed decision on my next steps.","Find out if Hawke's Bay needs its own Wedding industry website and magazine/newsprint to support the local industry and help couples find the vendors they require for their Wedding day.","Agency responded","0","1068"
"Couses of Infant mortality rate","2024-04-30 01:46:51","2024-05-13 00:44:27","Ministry of Health","Dataset that can help me to investigate factors that affect infant mortality rates .Factors such as maternal prenatal health, prenatal
care accessibility, infant birth weight, gestation length, neonatal care quality,
feeding practices, vaccination rates, socioeconomic status, and environmental
factors. CVS format would be prefered."," Findings will inform targeted interventions, healthcare policies, and community initiatives to reduce infant mortality rates and improve health outcomes for mothers and children.","The reason why infants die in thier first year.","Agency responded","0","1069"
"Deaths by all Cause Mortality for New Zealand","2022-10-10 20:55:27","2024-03-06 10:34:52","Te Whatu Ora Health New Zealand","Please release data containing Deaths by all Cause Mortality for New Zealand to the public. ","Giving us information","Give kiwis a true picture of the harm and impact of COVID and vaccination.","Agency notified","0","815"
"Homelessness statistics","2024-05-03 07:44:45","2024-05-04 01:16:31","Statistics New Zealand","New Zealand's homelessness statistics from 2020 onwards.","Allowing for comparison of data from 2018 and 2021. 2018 showed the presence of secondary tax while in 2021 the secondary tax had been withdrawn. ","Comparing whether withdrawing secondary tax reduces homelessness.","Agency responded","0","1071"
"Marriages by country of birth","2024-05-03 12:28:25","2024-05-07 15:07:06","Department of Internal Affairs","Hi there, do you have data on marriages based on the country of birth or ethnicity of the two people getting married? We have a client who is interested in people who were born in Indian who come to New Zealand and marry someone of different country of birth or ethnicity.","","It would help our client build a picture of the Indian community living in New Zealand.","Agency responded","0","1072"
"List of all MPs, service, roles held and demographics including DOB","2024-05-03 14:40:19","2024-05-04 01:14:19","Parliamentary Service","A database / .csv files containing at minimum

Table 1:
Current and historical list of MPs sitting in each parliament
Party affiliation for each parliament
Ministerial positions held and when
Electorate / list status

(Might be easier with ministerial status in a separate table)

Table 2: demographics
Date of birth (minimum year of birth)
Periods in government (can be a Y/N for each term)
Stated profession / sector
iwi

Happy for any other demographics to be included","Analysis of relative age of MPs and their politics / responsibilities - relationship of this to social factors, eg being brought up under Rogernomics, etc. "," Public interest - who are the MPs, what is their background
Specifically interested in the relationship of age/background and politics, and what this means for assumptions around eg Boomer/Millennial differences in politics
Noting that this information appears to have already been provided to media outlets","Agency notified","0","1073"
"statistics on the commonality of prescribing low dose naltrexone for pain or fibromyalgia","2024-05-06 13:28:59","2024-05-08 09:40:00","Health Quality and Safety Commission New Zealand","i would like to request all the current data/research data on the off-license drug Low dose naltrexone in new zealand.
to include the commonality of prescribing in the south island and best practices to follow when prescribing.
Is low dose naltrexone commonly prescribed in new zealand?
what is the consent process considered appropriate for doctors to follow when prescribing low dose naltrexone specifically, in general and rural practices in the south island.
does a register of prescribers exist.
for the years 2018-2020 was low dose naltrexone frequently prescribed and for what reasons.


","defining the protocols associated with prescribing an un-approved medicine namely low dose naltrexone, and the procedures legally required to follow so as not to breach the patient's privacy/health and wellbeing/and to ascertain the appropriate standard of care associated with the prescribing of this drug.
defining 100% if written consent is required for this un-approved drug.
defining 100% the exclusions and inclusions that warrant its prescription, in its unapproved capacity.
define 100% the class of thi8s drug and its commonality of prescribing in the south island by general and rural doctors.
 ","any chronologically dated statistics of use/prescribing methods/care plans or suggested trial periods/method of administration/reasons for prescribing, relating to the supply of the off-license drug low dose naltrexone in the south island.
","Agency responded","0","1076"
"Fatal and serious work related injuries in the Utilities sector compared to Construction, Agriculture and Forestry sectors showing mechanism of injury","2022-10-19 13:10:06","2022-11-15 09:56:36","Accident Compensation Corporation","Fatal and serious work related injuries in the Utilities sector compared to Construction, Agriculture and Forestry sectors showing mechanism of injury.

","The mechanism of injury will allow guidance to decision makers about where to allocate resources for prevention of fatal and serious injuries in the utilities sector","Understanding and demonstrating the relative risks of harm within and across these industries from the perspective of utilities workers and budget holders

","Agency responded","0","821"
"Find a job  for Electrician ","2022-10-20 02:40:27","2024-03-12 15:04:09","Electricity Corporation of New Zealand Limited","I want to find accredited  employer company name list. For get a job offer","For find a job for my job catagary","Accredited  employers","Agency responded","0","822"
"accredited employer list ","2022-10-24 19:04:56","2024-03-12 15:05:59","Auckland Council","i want to apply for green list Tier 1 residency. can I please get the latest accredited employer list?","","I will be able to know how many companies in NZ are accredited. ","Agency responded","0","823"
"Shoulder Claims in NZ","2024-05-07 18:19:25","2024-05-09 17:45:35","Accident Compensation Corporation","Number of shoulder claims made in New Zealand in 2023, broken down by financial cost, ethnic group and age groups","","Writing an enquiry into the most effective treatment for rotator cuff tears","Agency responded","0","1079"
"Request data on atopic dermatitis by read code","2022-10-27 14:09:52","2022-11-15 10:09:53","Accident Compensation Corporation","Hi,

My name is Annabelle Yi Zhang, a house officer employed by Te Whatu Ora. I’m in the process of starting a research project with Dr. Paul Jarrett (dermatologist at CMDHB) on the topic of incidence +/- prevalence of atopic dermatitis in Auckland. I understand that in primary care GP’s use read codes for diagnoses coding - would you have a record of anonymised data on patients who have the specific coding for atopic dermatitis (M111.) ? The data we are specifically interested in are age, gender, ethnicity and domicile DHB. If so, what is the process of gaining access to such data? 

Thank you for taking your time to read above. 

Kind regards,
","","Identify potential inequity amongst different ethnicities ","Agency responded","0","824"
"False allegations of sexual abuse made by children","2024-05-08 08:14:51","2024-05-08 16:18:14","Ministry of Justice","REF: https://www.courtsofnz.govt.nz/assets/Uploads/Addressing-misconceptions-final-version.pdf

Could we please view the research that is supporting the following statement within the above publication at :
REF Page: 2024 V_1.2 Page 42
""False allegations of sexual abuse made by children The research supports two general conclusions: 
(a) the vast majority of allegations are true but < Please provide the research supporting this
(b) false allegations do occur at some non-negligible rates 
(research suggests between 2 percent and 5 percent of reported allegations). 
Also note that “false negatives” (when a child says something did not happen when it did) are considerably more common. ""

REF Contact
Manager, Judicial Resources
Te Kura Kaiwhakawā
Email: TeKura@justice.govt.nz

Whereas many studies show a different set of statistics:
https://www.newportinstitute.com/resources/co-occurring-disorders/pathological-liar-signs/

Notes: According to mental health experts, many pathological and compulsive liars do believe the stories they’re telling. They may have repeated their lies so often that they start to feel true. Pathological liars often live in a fantasy world they’ve constructed, in which their “truth” becomes reality. 


Why do adolescents lie? 
Review Sources:
Int J Ment Health Addiction. 2022: doi.org/10.1007.
Comp Psychoneuroendocrinology. 2021; 8: 100091.
 JBI Evidence Synthesis. 2019 Sept; 17(9): 1855–1876.
 Trends Neuroscience Education. 2019 Jun; 15: 29–37.
 Neurol Sci. 2017 Mar; 38(3): 451–458.
 Psychol Science. 1997: 8(3): 162–166.

","Creating a better community
Identify the psychology of pathological Lying which is prolific according to studies such as:
","Destroying family and lives
Sending innocent people to prison
","Agency notified","0","1080"
"Energy End Use Database by Region","2024-05-08 16:14:03","2024-05-09 16:27:59","Energy Efficiency and Conservation Authority","Hi, Just wondered if it is possible to obtain a regional Energy End Use Database that EECA currently hosts by region or other geographic breakdown instead of the national database that is currently publicly available?
This is just an enquiry at this point to determine what is available. We would follow-up with a more specific request if data was available.","Improving the geographic resolution to better understand the current energy make-up at a regional level and also to help understand the energy transition challenges at a regional level.","We have had a request to investigate the regional/city based differences of sources of energy (i.e. electricity, fossil fuels (coal/gas/oil), biomass). This would include residential and industry.","Agency responded","0","1081"
"1)New Zealand crime map, 2)crime statistics api, 3)New Zealand Police Stations, 4)crime data","2024-05-08 18:26:05","2024-05-09 15:25:30","New Zealand Police","To request access to relevant four datasets for a predictive policing model project that aims to enhance law enforcement strategies through data-driven insights. The project involves developing a machine learning model that predicts crime hotspots in New Zealand based on historical crime data, demographic factors, and the availability of police resources. By leveraging advanced analytics techniques, the model seeks to enable law enforcement agencies to allocate resources more effectively and proactively target areas at higher risk of crime, ultimately enhancing public safety and security across the country.","This data would solve the problem of enabling evidence-based decision-making in law enforcement, leading to more efficient resource allocation, proactive crime prevention strategies, and increased community safety.","The requested datasets for the predictive policing model project would improve law enforcement efficiency and effectiveness by enabling targeted resource allocation, proactive crime prevention, and the promotion of equity and fairness in policing practices, ultimately enhancing public safety and trust in the community.","Agency notified","0","1082"
"Request for a spreadsheet of all suburbs in New Zealand including the City that the suburb is part of","2022-11-09 13:49:12","2022-11-10 16:37:12","Ministry for the Environment","Kia ora,

This will be a bit of a random koha request that I hope you may be able to assist with.

We are looking for a dataset of all suburbs in New Zealand and the city that the suburb is in (see sample attached).

The data will be used to assist with the build of an NZ version of the website below. 

https://www.agedcarewatch.org.au/

E tū is the Union in New Zealand that covers Aged Care workers.

I hope you may be able to assist with this request and if you have any questions, please let me know.

I look forward to hearing from you,

In solidarity,
Joseph


","Aged Care Watch will allow aged care workers, residents, and family members to report and visually represent the thousands of understaffing and workload issues in aged care facilities across New Zealand - The dataset will assist with this.","Replicating an NZ version of this website https://www.agedcarewatch.org.au/","Agency notified","0","829"
"land use zoning for the whole of NZ","2024-05-17 19:03:15","2024-05-21 12:16:38","Land Information New Zealand","Land use zoning, as in district plans, for the whole of New Zealand.
Shapefile requested.
Alternatively, a valuation roll with the values actually filled in, and with the standard property ID, would suffice because that could be related with the property boundaries shapefile.
The zone assignments should be dated, or at least the shapefile dated.","Bringing together information that is currently available from local government entities – but not readily so from all of them.
Filling in information currently missing from LINZ valuation roll (the zoning field is nearly all NULL values).
","for analysing the dynamics of business siting and the dynamics of urban growth and shrinkage.","Agency notified","0","1086"
"ACC Data for Dental Avulsions Injuries of permanent incisors for children and teenagers from 2019 -2024 ","2024-05-21 13:03:56","2024-05-22 11:33:22","Accident Compensation Corporation","This is a further request following your very helpful response to a previous request (IN RESPONSE to your data request for ACC Dental Injury Data for children and teenagers) received May 3rd 2024 -thank you.
Could we please have the details of the avulsion of permanent incisors from 2019-2024.
The age of the child/ teenager when injury occurred, gender, place of injury and associated costs. 
This information is required for a research project for a DClinDent.","Providing data will increase the depth and value of the research and support its findings.
Any help will be appreciated.
Thank you  
","This is a request for further information, required for DClinDent research project investigating dental avulsions of permanent incisors in children and teenagers and their experiences.  
Some dental data is available from the government data set but not the specific details necessary for this research project. 
","Agency notified","0","1087"
"Washing line injuries","2022-11-17 13:44:07","2023-01-10 10:59:28","Accident Compensation Corporation","Looking for number of people who have been injured by washing lines.   Walking into the wire or hurting themselves on the wire etc.","Proving that low income people are not stupid and hopefully by using facts and stats will bring about postive change in Kainga Oras policy regarding washing lines","Kainga Ora saying that people walk into washing lines all the time, therefore increasing the height of ALL washing lines to well over peoples heads.  This means that most people can now not access their washing line.   ","Agency responded","0","832"
"Accredited Employer Work Visa","2022-11-25 16:53:38","2023-01-11 09:49:32","Ministry of Health","Hi, I would like to request for the list of accredited employers/company in New  Zealand.","Hi, I would like to request for the list of accredited employers/company in New  Zealand.","Hi, I would like to request for the list of accredited employers/company in New  Zealand.","Agency notified","0","834"
"Antarctica continent","2022-11-27 01:34:42","2022-11-29 11:03:10","Agricultural and Marketing Research and Development Trust","Antarctica continental boundary shapefiles qgis readable","1. Assignment completion.
2. Nothing impossible is qgis in regard to dataset sorcing.","1. Work related assignment.
2. Qgis exploration beauty and satisfaction.
3. You can be my realable qgis extension information.
4. Have spend over 12 hours browsing internet to get antarctica shp but in vain.","Agency responded","0","835"
"How did you get baby names from the 30s?","2022-11-29 04:06:32","2023-01-26 16:17:58","Department of Internal Affairs","I don't understand how name data was available before the 60s.","Explaining how the data is received","The truth","Agency responded","0","836"
"OIA List of accredited employers NZ","2022-12-06 18:23:20","2023-07-22 14:04:16","Ministry of Business Innovation and Employment","Please provide  a list, preferably in a format that be sorted and filtered, of all employers who have registered to be accredited employers under AEV category ","Would allow the matching of migrants with relevant skills and experience to employers seeking to employ migrants ","Inefficient matching of migrants with the most relevant skills and experience to employers who are seeking to fill roles ","Agency notified","0","840"
"list of accredited employers in NZ","2022-12-14 07:13:50","2024-03-13 10:01:44","Ministry of Business Innovation and Employment","request you to provide a List of Accredited Employers in NZ ASAP, please.","selecting right employer in NZ.","my employment in NZ.","Agency responded","0","844"
"Total number of Diagnostic Imaging ACC Claims by modality","2022-12-15 11:14:29","2023-01-30 16:12:33","Accident Compensation Corporation","I am looking for time-series data that shows the number of diagnostic imaging services that ACC funds each year, broken down by the different modalities. The modalities of interest are: - Ultrasound - Diagnostic imaging - Computer Tomography - MRI - Nuclear Medicine - Mamogram - Positron Emission Tomography Scan - Angiography - Fluoroscopy","I am interested to see which modalities of diagnostic imaging are most frequently funded under ACC, and how this has changed over time.

This would provide much-needed insight into where ACC funding is being attributed within diagnostic imaging","I am interested to see which modalities of diagnostic imaging are most frequently funded under ACC, and how this has changed over time.

This would provide much-needed insight into where ACC funding is being attributed within diagnostic imaging","Agency responded","0","845"
"GIS/GNS comparison","2021-04-11 09:59:01","2021-04-12 09:46:55","GNS Science","CsCs constructions schemes
sources/re
canzuk
earthpoles","free trade
","pre-settled on Antarctica/Antarctides continents/
assets for settled","Agency responded","0","591"
"Request of reported police cases related to Facebook scams or received goods deception by means online (web based)","2023-01-13 15:38:41","2023-01-17 15:03:46","New Zealand Police","As per title we are looking for the annual data from the past 5 years of reported police cases that are related to Facebook Scams. This could be done through identifying case via:

- cases coded to a specific facebook scam
- received goods deception which are filtered to an online method
- contain the keyword Facebook purchase or similar)

We are open to how the data is generated","we are a startup looking to reduce the amount of Facebook Scams via a peer to peer Transaction and feedback tool. Having this data would help support or validate our solution. ","Ideally as much of drill down as possible e.g by region, month etc. but at minimum we'd appreciate:
The last 5 years data, total amount of cases in calendar year","Agency notified","0","850"
"Nature of injuries involving chainsaws","2023-01-16 08:17:26","2023-02-13 15:25:33","Accident Compensation Corporation","Data that shows the number of injuries in NZ that involved a chainsaw over the last five years
Data should give the accident description, injury description and classification unit for each injury","Allowing workers to see injuries beyond their own experience and allowing managers to prioritise budget spend to reduce the likelihood of injury","Defining the credible worse case scenario for workers operating chainsaws","Agency responded","0","851"
"ACC horse injury claims","2021-04-15 14:35:39","2023-08-24 15:01:04","Accident Compensation Corporation","latest data on total claims received by ACC for injuries caused by or related to horses in NZ for the latest 3 years available","providing relevant data later than currently provided for 2017","providing background for equine report","Agency responded","0","596"
"NZ Post Codes","2023-01-16 17:44:14","2023-01-18 11:46:08","Land Information New Zealand","Looking for a table for the whole of NZ including Post Code, Locality Region, Territory and Longitudes and Latitudes - can you please help?","Accurately providing addresses","Identifying where addresses are located","Agency responded","0","852"
"GMP Quarterly Dashboard September 2020","2021-04-16 11:32:17","2021-05-07 10:40:43","Department of Internal Affairs","Can I please be sent a copy of the GMP quarterly dashboard for the period to September 2020.  ","","I can only find the December 2020 quarterly dashboard on the website, and would like to do a comparison check against the previous quarter.","Agency responded","0","597"
"accredited employers list","2023-01-17 18:11:18","2023-09-20 09:58:21","Ministry of Business Innovation and Employment","Hi,
May I get the latest accredited employers list related to the construction industry?","I am looking for a job in New Zealand in the construction industry. The accredited employer list is required to apply for that.Thank you","I am looking for a job in New Zealand in the construction industry. The accredited employer list is required to apply for that. Thank you.","Agency responded","0","853"
"Accredited Employer LIST ","2023-01-24 13:08:27","2023-08-23 11:01:48","Waka Kotahi (NZTA)","PLEASE SEND ME ACCRIDICTED EMPLOYER LIST ","","PLEASE ","Agency notified","0","858"
"Climbing Fall Related Injuries","2023-01-27 14:22:53","2023-02-17 11:33:08","Accident Compensation Corporation","Could I please see data relating to climbing injuries in New Zealand from 2020 until present. Specifically injuries related to 'climbing' 'bouldering' 'sport climbing' 'trad(or traditional) climbing' and 'mountaineering'. Could I please see; (1.) date of injury, (2.) what the injury is either as written format or principle diagnosis code, (3.) where the injury occurred both by region and also (4.)the setting -eg sports facility, (5.) gender, (6.)age and (7.)ethnicity of the person involved, (8.) if a fall was the cause of injury.","Identifying the most at risk groups so that intervention can be planned.","I want to identify what groups of climbers are particularly at risk of falling and injuring themselves. This knowledge will then hopefully allow us to offer education and training to this group. Hopefully we can reduce rates of injury.","Agency responded","0","860"
"Pharmaceutical companies ","2023-01-29 01:12:22","2023-02-16 16:03:51","Pharmaceutical Management Agency","Account management in pharmaceutical ","","Health care sales ","Agency responded","0","861"
"Timber joinery and kitchen cabinet maker ","2023-02-21 22:45:24","2023-02-24 09:41:05","Hastings District Council","Am looking for a accredited company in regards to my application
","Asking people for work ","Looking everywhere for job ","Agency notified","0","865"
"Raymond file.f,ldf,sdf file","2023-02-22 14:55:11","2023-06-11 09:13:17","Department of the Prime Minister and Cabinet","For employment for the privacy commission lance de France nz ","Prime minister jacinda ardern and money related stuff.privacy commission and miq","Employment nz.gov.miq defense entrepreneur visa Raymond file nz.and other enquires.covid related all the way.privacy commission lance de France nz 0221354225","Agency notified","0","866"
"Murupara District","2018-10-12 15:22:05","2018-10-16 10:37:30","Land Information New Zealand","A shapefile of Murupara specifically the Te Whaiti Nui Forest and surrounding area.","","Spraying job in Te Whaiti Nui Forest in Murupara","Agency responded","0","355"
"ACC Allied Health and other Health Contract Data","2023-03-03 14:15:11","2023-04-03 10:28:16","Accident Compensation Corporation","1) The number of injury related claims active between 1 July 2012 and 30 June 2022, broken down by the financial year the claim was active and split by Accident region and accident sub-region for injuries that captured under an ACC health contract (e.g. Concussion Services, Pain Management Services, Training for Independence etc...)
2) The cost of injury related claims active between 1 July 2012 and 30 June 2022, broken down by the financial year the claim was active and split by Accident region and accident sub-region for injuries that captured under an ACC health contract (e.g. Concussion Services, Pain Management Services, Training for Independence etc...)

As a point of reference for the type of information to be included, refer to the ACC Concussion/TBI Dataset.","","Understanding the scale of rehabilitation services across Aotearoa and identifying sub-regions/districts that are currently under- or over-represented.","Agency responded","0","869"
"Most common last names in New Zealand","2018-11-09 05:08:27","2018-11-22 10:51:02","Department of Internal Affairs","Hello, I am a researcher with the University of Michigan. I am looking for the five most common last names in your country. I would prefer data that is close to 2010. I also need their frequency. A press release on similar information was posed here: https://www.dia.govt.nz/press.nsf/d77da9b523f12931cc256ac5000d19b6/738cf2a0e2ef4d2ecc257d340013fc3b!OpenDocument. However, it lacks the frequency data that is crucial for our research. If you do not have this data, I would appreciate any suggestions on where to find it. Thank you.
","","The most common last names have been posted, so the data must exist somewhere. Ideally, with more statistical information on frequency of occurrence, it can be put into a better perspective for citizens on the uniqueness of their family name. ","Agency responded","0","358"
"Anti-Money Laundering and Countering Financing of Terrorism Act 2009","2023-03-04 20:48:00","2023-03-06 15:47:02","Ministry of Justice","Hi 

My name is Helena studying money laundering at the University of Auckland Law school, Master's degree.

I would like to know whether the conviction rate data regarding Anti-Money Laundering and Countering Financing of Terrorism Act 2009 and the list of convicted cases for the last five years. 

Please advise. 

Thank you. 
","","It will be much helpful for my research on improving New Zealand's anti-money laundering measures.","Agency notified","0","870"
"How many people are placed into employment by all funded community groups in Auckland in the last three years (2021, 2022, 2023)","2023-03-09 11:22:39","2023-03-10 15:27:26","Ministry of Social Development","We are requesting information on how many government funded community groups place people into work in Auckland. And how many people they place into work each year. And what is the quota they are required to do? ","Understanding what the successes are some community groups are doing better than other groups. ","Understanding how many people are placed into work in Auckland each year by the community groups, and who are the successful community groups are.","Agency notified","0","873"
"Maternity Clinical Indicators","2018-11-27 10:20:42","2018-11-28 14:16:10","Ministry of Health","As above focus is Whanganui DHB and date run required is 2017 - 2018 (FY)","allowing analysis of clinical indicators ","reporting to Clinical Board, RAC, and most importantly informing maternity quality safety program initiatives and maternity service improvement planning","Agency responded","0","362"
"List of government agencies are using scrum frameworks in digital ","2023-03-14 13:32:23","2023-04-11 12:25:16","Statistics New Zealand","I am a new Zealand Citizens, a senior advisor for community of practice and working for Ministry of Justice.

As part of my role in setting up the Practices is to look at Scrum and how it is currently being used across Digital and in other government agencies.

We are aware that other government agencies are currently using Scrum Framework. We wonder if you can tell us about their story and their journey about implementation of SCRUM.

How the government agencies are using it, what roles they have supporting...ie have they replaced the traditional project roles etc.

Your response is much appreciated.
","confirmation and guidance ","list as excel and pdf as telling...","Agency notified","0","875"
"Bobby calf slaughter statistics for 2018 season (June to end of October)","2018-12-02 22:08:04","2018-12-04 14:23:36","Ministry for Primary Industries","Hi 
Could you please forward Bobby calf slaughter statistics for 2018 season (June to end of October). preferably in excel form.","","Interested to see comparison of 2018 to previous years to see if the M,Bovis disease and response has had as negative impact as predicted","Agency responded","0","364"
"Work-related injury statistics specific to the Strawberry industry","2023-03-18 18:05:39","2023-05-17 13:58:39","Agricultural and Marketing Research and Development Trust","I am completing a Bachelor of Engineering with Honours at the University of Waikato and am currently doing my final year research project.  My field of study is Assisted Harvesting in the Strawberry industry with the focus on the human factors aspect of strawberry  harvesting. As part of my research, I would like to establish what health and safety issues the strawberry industry is dealing with. Much of the online data I have found so far is quite broad by industry and I think most strawberry issues would be reported under Agriculture? I think some strawberry related injuries may be filed under transport or warehousing in some instances. What I would ideally like to write about is injuries in the sub-category of Horticulture, the sub-category  of strawberry harvesting and even a break down of what strawberry harvesting activity resulted in the most injuries e.g. twisting, bending over, squatting as well as pruning, harvesting etc. along with the types of injuries being reported.","If we can understand the negative impacts and injuries caused by strawberry harvesting, we can design a new system that see a reduction in these events. we need to know how people are being affected currently such as: 
- Is there repetitive picking motion causing arm, back or leg injuries?
- Are there injuries due to use of current equipment within the industry?
- Does moving heavy strawberry weights cause pain?
","The aim of the work we are conducting is to address several factors:
- Help resolve the shortage of labor mainly during fruit harvesting.
- Identify aspects of Strawberry harvesting that are causing injuries.
- Broaden the demographic of people able to conduct picking activates.
- reduce fruit loss due to harvest damage.
- Improve working conditions of pickers during harvest.","Agency notified","0","877"
"Incidence rates of work-related injury claims by engravers","2018-12-19 16:25:27","2019-02-12 15:41:16","Accident Compensation Corporation","Looking for industry information to see what sort of injuries are received and how they were received. What time off work and cost involved","Giving options of risk management","Educating Staff in awareness risk management","Agency responded","0","367"
"COURT JUDGEMENT AGAINST CRYPTO MONEY LAUNDERING FOR KNOWLEDGE GRAPH RESEARCH","2023-03-25 19:04:48","2023-04-28 15:24:07","Accident Compensation Corporation","COURT JUDGEMENT AGAINST INDIVIDUAL OR ORGANIZATION CRIME OF CRYPTO MONEY LAUNDERING
TRIPLES DATA 
","AI ","SOLUTION TO PREVENTING CRYPTO MONEY LAUNDERING","Agency notified","0","879"
"Distance traveled and road toll ","2019-01-01 12:06:58","2019-01-09 15:47:44","NZ Transport Agency","I would like to compare road vehicle kilometres travelled in total in NZ per year from 2001 through until the latest set of data - 2018 if possible, with total road fatalities for the same period.","Adjusting for distance travelled.","Road fatalities adjusted by distance travelled providing a more meaningful assessment of the road toll.","Agency responded","0","369"
"Temp data for Bay Of Islands for 2009","2021-06-10 20:39:02","2021-06-28 09:11:52","National Institute of Water and Atmospheric Research Limited","Is it possible to request the daily highs and lows of temperature for the Bay 0f Islands (or even Kawakawa township) from 20/01/09 to 20/01/10?","Giving me data to plan the blanket","Creating a celebration blanket for a family member","Agency responded","0","625"
"speed limits - NZTA highways northland","2021-06-21 09:46:02","2021-06-29 15:46:07","Waka Kotahi (NZTA)","All posted speed limits within state highways in Northland","","Currently changes to speed limits are being rolled out and other in process. E-roads uses Here's roads to update the vehicle monitoring system. ","Agency responded","0","632"
"Wokrplace injuries rates, general population, Pasifica peoples and Maori","2019-02-21 11:58:10","2019-04-23 13:37:39","Accident Compensation Corporation","Can you please provide me with a data set of information on injury rates for NZ
general population
Pasifica peoples
Maori
If you have the information can you please also detail serious (reportable) injury, and fatalities.

","provinid robust information by which decisions can be made
ACC and Worksafe NZ woul dbe likely sources of information for this data","Providing our organisation with some information on  prioritising needs for change and targeting training","Agency responded","0","378"
"Post Office Closures 2018-2023","2023-04-18 14:41:46","2023-04-27 09:30:50","New Zealand Post Limited","I am seeking a listing of all the New Zealand Post Office post-shops, post-counters, postal services in retail outlets that face customers for the period of 30 April 2018 to 30 April 2023, and their locations.  
This request is to determine how many rural post office services are being withdrawn, amalgmated, downsized, reducing the provision of services at a time when the central government has provided $130m of tax payer funds (2020-2023) to the Post Office and the Post Office has declared a most recent half-yearly profit of $115million. ","Making it transparent as to how many post service providers have been closed up, amalgamated, reduced in service provision and where they are located.  The Post Office is still, I believe, a public service, funded by the tax-payer.  Yet, having just witnessed yet another rural community post office closed up without any public consultation, without any justification provided, it is important for the public to know just what is happening with the estate of post offices in this country.  The same can be said for the closure, amalgamation, withdrawal reduction of health services.  Absent knowledge of how many post offices have been closed and the number that are in rural versus urban communities, it is impossible to hold the Post Office Leadership of Mr. David Walsh, CEO, Mr. Bryan Dobson, Chief Customer Officer, and Mr. Brandon Main, Chief Operations Officer accountable.  The Minister responsible for the Post Office will simply shirk responsibility and accountability, passing it to these three gentlemen. ","The problem is an undisclosed reduction in the provision of postal services.  This request is to determine how many rural post office services are being withdrawn, amalgmated, downsized, reducing the provision of services at a time when the central government has provided $130m of tax payer funds (2020-2023) to the Post Office and the Post Office has declared a most recent half-yearly profit of $115million.   Post Offices are being closed all over the country with no public awareness, consultation, no consideration of climate change effects (of customers having to drive extensive journeys to get service), and also of the unintended consequences on urban congestion through congregation of population where there are adequate provision of services. ","Agency notified","0","891"
"New primary schools built in New Zealand ","2021-07-13 13:38:38","2021-07-13 14:04:42","Ministry of Education","All new (not renovated/ rebuilds) primary schools built/constructed in New Zealand in the last 10 years (2011-2021) 
Either spreadsheet (excel) of some kind, for construction of primary schools in chronological order. ","A chronological (by date; year) spreadsheet of new primary schools built in the country helps understand the construction process, and how it has evolved over time in regards to primary schools. Which then helps understand their life expectancy and the current practice on new primary schools that are under construction. ","There is no information in one place/datasheet for schools built across the country. When they were built, and were in chronological order by year.","Agency notified","0","637"
"Graduate jobs in New Zealand from 2003-2017","2019-03-23 07:55:32","2019-03-26 14:59:55","Statistics New Zealand","Please provide the details of graduate jobs i.e. both technical and non-technical, in the country for the period 2003-2017.","","I am student of National College of Ireland. I am working on a project. So, i need data for the same.","Agency notified","0","388"
"Maternity clinical indicators","2019-05-06 15:52:10","2019-05-07 10:33:58","Ministry of Health","This data was due Dec 2018 and forms part of the maternity quality and safety data","","reporting to risk and audit, clinical board and developing workplan for paternity","Agency notified","0","394"
"Hydro electric dam locations","2021-08-16 10:34:32","2021-08-16 10:48:52","University of Canterbury","I would like a shapefile of the different hydro electric dams in New Zealand, preferably with generation, area and other information but location is fine ","We are researching Water use at Hydro electric Dams and this would improve the reliability on location and size of the dams","We are researching Water use at Hydro electric Dams and this would improve the reliability on location and size of the dams","Agency notified","0","653"
